disease_agent,gideon_disease,region,pop
VIRUS,Hepatitis E,rest of Asia,298324246
VIRUS,Hepatitis E,China,460404129
VIRUS,Hepatitis E,India,312173814
VIRUS,Hepatitis E,Southeast Asia,201989977
VIRUS,Hepatitis E,Africa,512257359
VIRUS,Hepatitis E,Central America and Caribbean,112869277
VIRUS,Hepatitis E,South America,76500132
VIRUS,Hepatitis E,Europe,498808821
VIRUS,Hepatitis E,North America,193326942
VIRUS,Herpes B infection,rest of Asia,106648178
VIRUS,Herpes B infection,China,378346361
VIRUS,Herpes B infection,India,308515763
VIRUS,Herpes B infection,Southeast Asia,244785932
VIRUS,Herpes B infection,Africa,27386013
FUNGUS,Histoplasmosis,rest of Asia,24770980
FUNGUS,Histoplasmosis,China,4359288
FUNGUS,Histoplasmosis,India,54379435
FUNGUS,Histoplasmosis,Southeast Asia,23277618
FUNGUS,Histoplasmosis,Africa,264610580
FUNGUS,Histoplasmosis,Central America and Caribbean,126305374
FUNGUS,Histoplasmosis,South America,239621073
FUNGUS,Histoplasmosis,Europe,450568746
FUNGUS,Histoplasmosis,North America,180615343
PARASITE,Hymenolepis diminuta infection,rest of Asia,298141192
PARASITE,Hymenolepis diminuta infection,China,459929045
PARASITE,Hymenolepis diminuta infection,India,311511257
PARASITE,Hymenolepis diminuta infection,Southeast Asia,208260170
PARASITE,Hymenolepis diminuta infection,Africa,531611256
PARASITE,Hymenolepis diminuta infection,Europe,499455977
PARASITE,Hymenolepis diminuta infection,North America,188845901
PARASITE,Hymenolepis nana infection,rest of Asia,282705313
PARASITE,Hymenolepis nana infection,China,454923091
PARASITE,Hymenolepis nana infection,India,311316782
PARASITE,Hymenolepis nana infection,Southeast Asia,113006373
PARASITE,Hymenolepis nana infection,Africa,553093681
PARASITE,Hymenolepis nana infection,Europe,499408250
PARASITE,Hymenolepis nana infection,North America,188845901
VIRUS,Influenza,rest of Asia,282801869
VIRUS,Influenza,China,456831805
VIRUS,Influenza,India,311437874
VIRUS,Influenza,Southeast Asia,218492043
VIRUS,Influenza,Africa,603455881
VIRUS,Influenza,Oceania,5
VIRUS,Influenza,Central America and Caribbean,109949226
VIRUS,Influenza,South America,33577940
VIRUS,Influenza,Europe,499494335
VIRUS,Influenza,North America,215071316
VIRUS,Japanese encephalitis,rest of Asia,161111039
VIRUS,Japanese encephalitis,China,264861506
VIRUS,Japanese encephalitis,India,242424084
VIRUS,Japanese encephalitis,Southeast Asia,240956805
VIRUS,Japanese encephalitis,Africa,29781332
VIRUS,Japanese encephalitis,Europe,143172771
BACTERIUM,Japanese spotted fever,rest of Asia,206467430
BACTERIUM,Japanese spotted fever,China,1449280
BACTERIUM,Japanese spotted fever,India,269932265
BACTERIUM,Japanese spotted fever,Southeast Asia,228210364
BACTERIUM,Japanese spotted fever,Africa,465158619
BACTERIUM,Japanese spotted fever,Central America and Caribbean,105087858
BACTERIUM,Japanese spotted fever,Europe,487237958
BACTERIUM,Japanese spotted fever,North America,175005700
VIRUS,Kyasanur Forest disease,rest of Asia,134256107
VIRUS,Kyasanur Forest disease,China,215493209
VIRUS,Kyasanur Forest disease,India,310615990
VIRUS,Kyasanur Forest disease,Southeast Asia,110873459
VIRUS,Kyasanur Forest disease,Africa,465158619
VIRUS,Kyasanur Forest disease,Europe,357150979
VIRUS,Lassa fever,Africa,651787289
PARASITE,Leishmaniasis - cutaneous,rest of Asia,300600728
PARASITE,Leishmaniasis - cutaneous,China,460118281
PARASITE,Leishmaniasis - cutaneous,India,311550070
PARASITE,Leishmaniasis - cutaneous,Southeast Asia,123007177
PARASITE,Leishmaniasis - cutaneous,Africa,778588529
PARASITE,Leishmaniasis - cutaneous,Central America and Caribbean,106229909
PARASITE,Leishmaniasis - cutaneous,South America,250902048
PARASITE,Leishmaniasis - cutaneous,Europe,499510442
PARASITE,Leishmaniasis - cutaneous,North America,198397323
PARASITE,Leishmaniasis - mucocutaneous,rest of Asia,77276672
PARASITE,Leishmaniasis - mucocutaneous,India,269638944
PARASITE,Leishmaniasis - mucocutaneous,Africa,468896771
PARASITE,Leishmaniasis - mucocutaneous,Central America and Caribbean,78064625
PARASITE,Leishmaniasis - mucocutaneous,South America,211339243
PARASITE,Leishmaniasis - mucocutaneous,Europe,357150979
PARASITE,Leishmaniasis - mucocutaneous,North America,25482111
PARASITE,Leishmaniasis - visceral,rest of Asia,289877081
PARASITE,Leishmaniasis - visceral,China,459152161
PARASITE,Leishmaniasis - visceral,India,311536865
PARASITE,Leishmaniasis - visceral,Southeast Asia,63583994
PARASITE,Leishmaniasis - visceral,Africa,647504010
PARASITE,Leishmaniasis - visceral,Central America and Caribbean,77831144
PARASITE,Leishmaniasis - visceral,South America,246533421
PARASITE,Leishmaniasis - visceral,Europe,499578742
PARASITE,Leishmaniasis - visceral,North America,189543606
BACTERIUM,Leptospirosis,rest of Asia,301320434
BACTERIUM,Leptospirosis,China,466841278
BACTERIUM,Leptospirosis,India,312210696
BACTERIUM,Leptospirosis,Southeast Asia,326866439
BACTERIUM,Leptospirosis,Africa,760395235
BACTERIUM,Leptospirosis,Oceania,8549559
BACTERIUM,Leptospirosis,Central America and Caribbean,114067327
BACTERIUM,Leptospirosis,South America,260583071
BACTERIUM,Leptospirosis,Europe,499823855
BACTERIUM,Leptospirosis,North America,218227577
BACTERIUM,Listeriosis,rest of Asia,172307747
BACTERIUM,Listeriosis,China,419624697
BACTERIUM,Listeriosis,India,278808181
BACTERIUM,Listeriosis,Southeast Asia,179075120
BACTERIUM,Listeriosis,Africa,60729730
BACTERIUM,Listeriosis,Central America and Caribbean,112869277
BACTERIUM,Listeriosis,South America,76500132
BACTERIUM,Listeriosis,Europe,154806537
BACTERIUM,Listeriosis,North America,191527099
BACTERIUM,Lyme disease,rest of Asia,298648225
BACTERIUM,Lyme disease,China,463922362
BACTERIUM,Lyme disease,India,312122781
BACTERIUM,Lyme disease,Southeast Asia,88683468
BACTERIUM,Lyme disease,Africa,481950989
BACTERIUM,Lyme disease,Central America and Caribbean,114060024
BACTERIUM,Lyme disease,South America,107134288
BACTERIUM,Lyme disease,Europe,499499218
BACTERIUM,Lyme disease,North America,218167104
VIRUS,Lymphocytic choriomeningitis,rest of Asia,227396020
VIRUS,Lymphocytic choriomeningitis,China,348246112
VIRUS,Lymphocytic choriomeningitis,India,269638944
VIRUS,Lymphocytic choriomeningitis,Africa,466185533
VIRUS,Lymphocytic choriomeningitis,Central America and Caribbean,31037
VIRUS,Lymphocytic choriomeningitis,Europe,498011204
VIRUS,Lymphocytic choriomeningitis,North America,54778870
BACTERIUM,Melioidosis,rest of Asia,91279652
